0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:44 +0800] "GET /ordering_system/misc/uploadify.swf?preventswfcaching=1473321044276 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:44 +0800] "GET /ordering_system/img/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:44 +0800] "GET /ordering_system/misc/uploadify.swf?preventswfcaching=1473321044276 HTTP/1.1" 200 12675
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:44 +0800] "GET /ordering_system/ HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:17 +0800] "GET /ordering_system/img/uploadify-cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:17 +0800] "POST /ordering_system/uploadFile/image HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:17 +0800] "GET /ordering_system/uploads/image/1d62ab8b-3a21-4b43-87fb-d1e5dfaa0200.jpg HTTP/1.1" 200 20795
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:23 +0800] "POST /ordering_system/addProduct HTTP/1.1" 200 20094
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:23 +0800] "GET /ordering_system/js/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:23 +0800] "GET /ordering_system/js/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:54:24 +0800] "GET /ordering_system/misc/uploadify.swf?preventswfcaching=1473321264055 HTTP/1.1" 200 12675
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:43 +0800] "GET /ordering_system/addProductSalesattr.jsp HTTP/1.1" 200 20079
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:43 +0800] "GET /ordering_system/misc/uploadify.swf?preventswfcaching=1473321583944 HTTP/1.1" 200 12675
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/addProductSalesattr.jsp HTTP/1.1" 200 20079
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/bootstrap-cerulean.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/charisma-app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/chosen/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/jquery.noty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/elfinder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/noty_theme_default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/elfinder.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/uploadify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/jquery.iphone.toggle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/bower_components/moment/min/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:59:52 +0800] "GET /ordering_system/js/jquery.dataTables.min.js HTTP/1.1" 304 -
